# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/ledger.ts; date 2026-09-25T21:07:57.954Z
claim_id	source	claim	evidence	command	result	note
C141	README:109	Lexical branch and loop scopes do not leak	test/fixtures/compiler/20-branch-scopes-do-not-leak-and-may-shadow-each-other-diagnostic.hd	hd check test/fixtures/compiler/20-branch-scopes-do-not-leak-and-may-shadow-each-other-diagnostic.hd	verified	
C142	README:122	Exhaustive boolean matching; guards do not contribute coverage	audit/probes/claims/p52-match-guard-coverage.hd ; test/fixtures/compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests-diagnostic.hd	hd check audit/probes/claims/p52-match-guard-coverage.hd ; hd check test/fixtures/compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests-diagnostic.hd	verified	
C143	README:128	Must-use checking of optional/Result	audit/probes/claims/p55-must-use.hd ; spec/conformance/typing/invalid/discarded-result.hd	hd check audit/probes/claims/p55-must-use.hd ; hd check spec/conformance/typing/invalid/discarded-result.hd	verified	
C144	README:238	string.len counts Unicode scalars	audit/probes/claims/p19-string-len-order.hd ; test/fixtures/compiler/38-strings-use-gc-byte-arrays-and-len-counts-unicode-scalars.hd	hd test audit/probes/claims/p19-string-len-order.hd ; hd run --entry main test/fixtures/compiler/38-strings-use-gc-byte-arrays-and-len-counts-unicode-scalars.hd	verified	
C145	README:239-240	Unicode trim and lower through the host bridge	audit/probes/claims/p20-trim-lower.hd ; test/fixtures/compiler/62-string-trim-and-lower-use-unicode-byte-bridge.hd	hd test audit/probes/claims/p20-trim-lower.hd ; hd run --entry main test/fixtures/compiler/62-string-trim-and-lower-use-unicode-byte-bridge.hd	verified	
C146	README:255	Typed HIR, readable WAT, Binaryen validation, V8 execution	audit/evidence/02-claims/cli.log ; audit/evidence/02-coverage/s1-wasm-gc.tsv	see cli.log (dump-hir) ; hd build --wat on each selected runtime fixture	verified	
C147	spec 07:230-234 (MVP_PLAN:24-25 closures)	Plain fn closures may not mutate captures	audit/probes/claims/c2-plain-closure-mutates-capture.hd ; audit/probes/claims/c2-plain-closure-assigns-let.hd	hd check audit/probes/claims/c2-plain-closure-mutates-capture.hd ; hd check audit/probes/claims/c2-plain-closure-assigns-let.hd	contradicted	accepted and executed (c2-plain-closure-mutation-runs)
C148	MVP_PLAN:161;README:81	i32 arithmetic is checked (overflow and division panics)	audit/probes/claims/p21-overflow-panics.hd ; audit/probes/claims/p22-min-div-neg-one.hd ; audit/probes/claims/p23-div-zero.hd	hd check audit/probes/claims/p21-overflow-panics.hd && hd run audit/probes/claims/p21-overflow-panics.hd ; hd check audit/probes/claims/p22-min-div-neg-one.hd && hd run audit/probes/claims/p22-min-div-neg-one.hd ; hd check audit/probes/claims/p23-div-zero.hd && hd run audit/probes/claims/p23-div-zero.hd	verified	
C149	MVP_PLAN:116-117	Suspend[T] cancel requires a mutable value	audit/probes/claims/p68-readonly-cancel.hd ; spec/conformance/typing/invalid/readonly-suspension-cancel.hd	hd check audit/probes/claims/p68-readonly-cancel.hd ; hd check spec/conformance/typing/invalid/readonly-suspension-cancel.hd	verified	
C150	README:116	Enum payloads may be unnamed positional parameters (spec 08:200)	audit/probes/claims/p95-positional-enum-payload.hd ; spec/conformance/typing/invalid/variant-result-owner.hd	hd test audit/probes/claims/p95-positional-enum-payload.hd ; hd check spec/conformance/typing/invalid/variant-result-owner.hd	contradicted	unnamed positional payload fails to parse
